name,age,job,salary
Michael Sanders,41,Accountant,11900
Susan Klein,36,Dentist,15400
Denise Miller,52,Software Engineer,15700
Cassandra Malone,33,Accountant,9000
Linda Lewis,40,Accountant,11300
Ronald Walsh,46,Software Engineer,16400
Juan Stone,52,Accountant,14200
Margaret Garcia,24,Dentist,10800
Daniel Morrow,50,Software Engineer,15100
Aaron Newman,54,Software Engineer,18300
David Jones,45,Dentist,16100
Kendra Noble,54,High School Teacher,14300
Jack Rivas,36,Accountant,9900
Courtney Wright,38,High School Teacher,8500
Jennifer Smith,38,High School Teacher,9500
Timothy Jimenez,50,High School Teacher,13100
James Miller,28,High School Teacher,5500
Brenda Henderson,53,Software Engineer,18500
Dominic Williams,33,High School Teacher,8000
Stephen Mcmillan,34,Software Engineer,10300
Victoria Melton,45,Dentist,17600
Christina Walker,24,Software Engineer,9800
Nicholas Smith,39,Software Engineer,11800
Mary Dickerson,52,Software Engineer,16900
Scott West,49,Software Engineer,16300
Stephen Johnson,35,High School Teacher,8800
Krista Gilmore,55,High School Teacher,14600
Angela Hughes,36,High School Teacher,9400
Mr. Brandon Delacruz,46,Dentist,15900
Allen Berger,55,Dentist,18600
Stephanie Reed,27,Dentist,10700
Taylor Anderson,39,Accountant,10300
Benjamin Spencer,25,Dentist,10100
Paul King,64,Dentist,22800
Jennifer Baker,58,High School Teacher,14500
Seth Graham,49,Dentist,17800
Jennifer Gill,60,Accountant,16600
Nathan Martinez,57,Software Engineer,17700
Ashley Schneider MD,25,Dentist,9600
Ryan Levy,27,High School Teacher,7700
Gerald Diaz,52,Accountant,13700
Jared Wood,40,Software Engineer,13600
Michael Coleman,54,High School Teacher,14800
Matthew Lewis,34,High School Teacher,8800
Michael Johnson,52,Dentist,18900
Tina Freeman,46,Dentist,17100
Jesse Waters,59,Dentist,21300
Stephanie Carrillo,63,High School Teacher,17200
Michelle Edwards,48,Accountant,15000
Robert Silva,51,Accountant,14900
Scott Williams,57,Accountant,17700
Brittney Stephens,25,High School Teacher,4600
Lori Smith,29,Software Engineer,8800
Angel Hernandez,50,Software Engineer,17100
Timothy Lee,60,Accountant,16100
Sarah Mathis,27,Software Engineer,9400
Katherine James,48,Dentist,18000
Joshua Villanueva,41,Accountant,11400
Angel Osborne,41,Accountant,10400
Scott Anderson,54,High School Teacher,13300
Matthew Martin,55,High School Teacher,16100
Jennifer Davis,40,Software Engineer,14600
Robert Spears,60,Accountant,17300
Traci Mcintosh,41,Dentist,15600
Jason Hays,49,Accountant,12800
Teresa Rivera,48,High School Teacher,12700
Christopher Ramirez,33,High School Teacher,7500
John Hall,47,Software Engineer,15400
Isaac Spence,25,Software Engineer,10100
Natalie Lambert,34,High School Teacher,9300
Ryan Armstrong,64,Accountant,17300
Scott Wheeler,31,Accountant,8900
Cody Joseph,60,Accountant,18600
Charles Marks,29,Software Engineer,9300
Nathan Alexander,55,High School Teacher,14800
Kenneth Barrett,48,Accountant,13700
Scott Brown,40,High School Teacher,11100
Lisa Nguyen,56,High School Teacher,13900
Michelle Cooper,61,Accountant,16400
Ruth Miller,44,High School Teacher,11800
John Fuller,44,Accountant,12500
Wendy Orozco,34,Software Engineer,10300
Luis Gordon,34,Accountant,10800
Cassandra Rivera,47,Software Engineer,16200
Stephanie Estes,36,Accountant,11400
Lisa Davis,43,Accountant,13000
Lisa Tucker DDS,63,Dentist,22000
Nathan Stanton,54,Dentist,20300
Laura Cabrera,54,Dentist,18300
Joseph Lewis,27,Dentist,12200
Zachary Hughes,32,Accountant,7700
Emily Reynolds,47,Accountant,13700
Julie Henry,35,Software Engineer,11800
Kimberly Murillo,29,Dentist,11300
Julia Evans,31,Accountant,7400
Tammy Brown,53,High School Teacher,13000
Catherine Sanders,48,Accountant,13700
Michael Rojas,65,Dentist,22100
Frank Medina,57,Accountant,17200
James King,24,Accountant,7800
Tonya Perez,37,Accountant,10700
Jennifer Cruz,48,High School Teacher,11500
Sara Savage,45,Software Engineer,14800
Jeffery Diaz,46,Dentist,16400
Lawrence Jackson,25,Software Engineer,7600
John Rodriguez,57,Software Engineer,17200
Michael Thompson,33,Dentist,14000
Omar Flores,25,Software Engineer,8100
Victoria Fox,51,High School Teacher,13900
Robert Clark,39,Software Engineer,11800
Ashley Watson,59,Dentist,19800
Edward Ray Jr.,27,Dentist,11700
Joshua Lane,54,Dentist,19500
Jordan Decker,29,Dentist,10800
Kaitlyn Nguyen,24,Accountant,5300
George Hart,60,Dentist,21600
Erika Rosales,49,Software Engineer,15800
Brooke Morgan,58,High School Teacher,15000
Kelly Ball,61,High School Teacher,17400
Troy Jones,33,Dentist,14000
Mark Harrell,29,Dentist,11800
Peter Hicks,55,Dentist,19100
Brian Barrett,40,High School Teacher,10600
Brittany Spencer,49,Software Engineer,16300
Kevin Carroll,27,Software Engineer,9400
Sarah Williams,42,High School Teacher,11700
Shaun Kim,62,Software Engineer,19700
Jeremy Wilson,27,Software Engineer,8200
William Lambert,26,High School Teacher,5400
April Lawrence,35,Software Engineer,12600
Curtis May,61,High School Teacher,17400
Joseph Whitaker,54,Dentist,19800
Derek Campbell,27,Dentist,10200
Michael Brown,55,High School Teacher,15100
Bobby Daniels,34,Software Engineer,11800
Anthony Jones,31,Software Engineer,10900
Zachary Brown,42,Accountant,12700
Mario Douglas,54,Software Engineer,16800
Daniel Cook,24,High School Teacher,6800
Jeffrey Baldwin,26,Dentist,11100
Michael Lee,53,Dentist,19500
Patricia Williams,35,Dentist,13800
Shannon Brown,25,Software Engineer,8800
Wendy Bonilla,23,Software Engineer,9000
Daniel Davis,41,High School Teacher,10600
Dr. Cathy Bradley,27,High School Teacher,5700
Timothy Perez,36,High School Teacher,10400
Cassandra White,50,Dentist,19100
Michael Williams,41,Software Engineer,12400
Donald Hawkins,57,Software Engineer,18700
Michael Haynes,26,Software Engineer,7900
Joseph Bruce,55,Accountant,15800
Kyle Holmes,53,Accountant,15000
Eric Martin,60,Software Engineer,19300
Julia Figueroa,42,Software Engineer,15200
Jacqueline Scott,50,Accountant,14600
Kelly Pittman,49,High School Teacher,13000
Sandra Robinson,42,Software Engineer,14700
Jeffrey Hill,62,Dentist,21900
Katherine Smith,39,Software Engineer,11800
David Murphy,36,High School Teacher,8900
Caitlin Berger,65,Accountant,18600
Anna Austin,30,Software Engineer,10100
John Moore,38,Software Engineer,12500
Tyler Ramos,49,Dentist,18300
Christopher Ramos,45,Dentist,16100
Michele Fischer,59,Accountant,18300
Alexandra Green,64,Dentist,22300
Steven Martinez,25,Accountant,5600
David Dean,49,High School Teacher,13000
Jordan Fernandez,28,Software Engineer,10000
Michael Mosley,34,Accountant,8300
Jennifer Mccall,35,Software Engineer,11600
Patricia Murphy,23,Accountant,7500
Todd Holland,54,Dentist,19300
Daniel Fernandez,48,Accountant,12500
Craig Perry,35,Dentist,12600
Charles James,52,Dentist,19700
David Cole,57,Software Engineer,19700
Jennifer Floyd,49,Dentist,17800
Thomas Grant,36,Software Engineer,10900
Eric Morales,63,Accountant,17000
Brent Smith,51,Dentist,19400
Sabrina Mitchell,27,Software Engineer,8700
Ronald Kaiser,56,Accountant,15400
Dawn Saunders,34,Software Engineer,11800
Dennis Duncan,40,High School Teacher,10100
Emily Adams,44,High School Teacher,10800
Joseph Stuart,57,Dentist,20700
John Koch,43,High School Teacher,11500
Brandi Kelley,29,Accountant,8800
Andrew Jones,34,Accountant,10300
Amanda Brown,36,Dentist,14400
Debra West,58,Software Engineer,18000
Jasmine Smith,35,Software Engineer,11600
Amy Richards,56,Accountant,16400
Nathaniel Murphy,33,Dentist,13000
Kathleen Reed,41,High School Teacher,10400
George Smith,32,Software Engineer,11700
Sabrina Chavez,37,Dentist,14200
Valerie Martinez,33,High School Teacher,9500
Michelle Walker,39,High School Teacher,10800
Lori Beasley,44,High School Teacher,12300
Jacob Moran,65,Dentist,24100
James Cobb,55,Software Engineer,16600
Anna Smith,27,High School Teacher,6400
Clayton Logan,35,Accountant,10600
Robert Harrison,46,Dentist,16900
Ryan Fry,59,Software Engineer,19000
Brooke Thomas,23,Software Engineer,8500
Shane Clark,50,High School Teacher,13100
Jaime Caldwell,54,Accountant,15800
Marc Chavez,61,Dentist,20400
Larry Thomas,36,High School Teacher,8900
Donald Yates,58,Dentist,22000
Angela Smith,29,Software Engineer,9300
John Wright PhD,28,Accountant,9000
Michael Brooks,49,Accountant,12800
Anna Snow,28,Dentist,12500
Allison Peterson,49,Dentist,18000
Amanda Vargas,47,Software Engineer,14200
Sara Taylor,27,Accountant,8700
Jason Reeves,65,High School Teacher,19100
Kristin Hart,27,Accountant,8700
Christina Clark,27,High School Teacher,7700
Bailey Reyes,55,Software Engineer,17800
Tyler Jordan,38,Accountant,10700
Dana Washington,52,Software Engineer,16200
Jay Brooks,25,Accountant,6100
Kirsten Hampton,55,High School Teacher,14800
Bruce Arias,39,High School Teacher,10300
Christopher Parks,38,High School Teacher,9500
Gerald Tucker,24,Accountant,7300
Elizabeth Buchanan,65,Dentist,23100
Peter Scott,23,Dentist,9500
John Bell,63,Accountant,19500
Michelle Brown,51,Dentist,18400
Zachary Taylor,64,Dentist,22500
Henry Ward,24,Software Engineer,8500
Logan Rogers,24,Software Engineer,8500
Alyssa Mitchell,64,Software Engineer,21300
John Terry,51,High School Teacher,13400
Nicole Kline,52,High School Teacher,13900
Thomas Schwartz,30,Dentist,12100
Jenna Clark,52,High School Teacher,13900
Alex Bauer,61,Accountant,16400
Christopher Huff,53,Accountant,16000
Anita Butler,49,Dentist,17300
Jason Schultz,38,High School Teacher,8500
Darryl Ruiz,45,Accountant,12600
Theresa Wheeler,63,Accountant,17000
Brittany Fisher,25,High School Teacher,5800
Denise Torres,56,Software Engineer,17400
Troy Gutierrez,38,High School Teacher,9000
Kathleen Mendez,36,Accountant,10900
Amy Donovan,64,High School Teacher,18800
Ryan Mcdonald,54,Accountant,16300
Vincent Duffy,65,High School Teacher,17100
Elizabeth Wilkerson,44,High School Teacher,11500
William Phillips,46,Dentist,16400
Allison Santana DVM,55,High School Teacher,14800
Cody Orozco,50,Software Engineer,17600
Michelle Wood,25,Software Engineer,9600
Nancy Taylor,53,High School Teacher,13500
Deanna Gomez,31,High School Teacher,6900
Jason Cummings,48,Accountant,13000
Timothy Richardson,54,Software Engineer,17500
Thomas Rivera,53,Accountant,16000
Nathan Douglas,38,Software Engineer,13500
Jessica Jensen,30,Accountant,9100
Megan Kramer,45,High School Teacher,12600
Tina Bell,35,Software Engineer,12100
James Hartman,46,High School Teacher,11400
Michael Foley,44,Dentist,17800
Tanner Rodriguez,36,High School Teacher,9400
Allison Crawford,33,Software Engineer,10000
Jeffery Brooks,48,Software Engineer,15700
Emma Day,41,High School Teacher,11900
Raymond Ruiz,26,Software Engineer,10400
Eric Short,59,Accountant,16300
Becky Franklin,34,Software Engineer,11500
Joshua Phillips,46,Software Engineer,13900
Patricia Jackson,27,High School Teacher,6200
Charles Chen,46,Dentist,16400
Mark Doyle,39,High School Teacher,11300
Daniel Chandler,58,Dentist,20000
Tracy Smith MD,56,High School Teacher,15900
Brian Boyd,54,Dentist,20800
Lindsey Lindsey,29,Dentist,12800
Jill Collins,53,Dentist,19000
Dr. Ryan Barajas,44,Software Engineer,13300
Brianna Parker,35,Software Engineer,11800
Katelyn Williams,53,Dentist,20500
Wanda Holland,43,Dentist,16000
Linda King,26,High School Teacher,6100
Erik Stevens,42,Software Engineer,12700
Robert Carney,53,Dentist,19200
Robert Cox,28,Dentist,12000
Brianna Bernard,36,High School Teacher,8400
Jodi Ramirez,53,Dentist,20000
Nicholas Ward,35,Dentist,13800
Robert Thomas DVM,23,Accountant,6200
Melanie Reyes,54,Dentist,20800
Brenda Brady,65,Accountant,18600
Andrea Mcdonald,38,Accountant,10500
Judith Taylor,38,Dentist,16000
Antonio Wilson,47,Accountant,13400
Steven Allen,38,Dentist,14000
Jesus Johnson,33,High School Teacher,8500
Cody Waters,50,High School Teacher,12100
Carl Franco,25,High School Teacher,4600
Michael Brown,34,Software Engineer,11300
Jennifer Stewart,60,High School Teacher,16100
Molly Griffin MD,23,High School Teacher,6500
Beth Mcmillan,57,Accountant,15200
Robert Dean,49,High School Teacher,12300
David Brown,24,Accountant,5800
Christina Gutierrez,61,Dentist,21900
Sean Jackson,62,Dentist,20700
Phillip Bowman,52,Accountant,14200
Samantha Carroll,34,Accountant,9500
Brian Williams,43,Accountant,11000
Joshua Sullivan,27,Software Engineer,10700
Gordon Wood,44,High School Teacher,12800
Michele Chavez,59,Accountant,15800
Marie Clark,62,Software Engineer,20700
Brian Martinez,55,High School Teacher,14100
Calvin Johnson,24,Dentist,9300
Alison Norman,46,High School Teacher,11900
Dennis Jones,28,Dentist,13000
Charles Johnston,27,Software Engineer,9700
Christopher Stanley,45,High School Teacher,11600
Brenda Norton,31,Software Engineer,9400
Frank Hays,63,High School Teacher,17500
Maria Russo,64,Accountant,17800
Beth Kidd,60,Software Engineer,18100
Laura Hancock,52,Accountant,15200
Alejandro Kelly,45,Software Engineer,15600
Alexis Fuller,36,Dentist,14900
Clinton Herrera,29,Dentist,13300
Dana Rivera,42,High School Teacher,11700
Barbara Mays,31,High School Teacher,7900
Adam Walsh DDS,31,Software Engineer,10600
Tina Ortega,26,High School Teacher,6900
Wayne Floyd,39,Software Engineer,11800
Julie George,39,Dentist,14800
Richard Sexton,40,Dentist,15600
Terry Hale,44,Dentist,16800
Madison Duarte,24,Software Engineer,8500
Megan Bailey,58,Accountant,16000
Carol Alvarez,27,Software Engineer,10200
Kyle Olson,65,Dentist,22600
Donna Miller,40,Accountant,11100
Tonya Kennedy,56,High School Teacher,13900
Kimberly Brown,47,Dentist,18700
Randall Boone,29,High School Teacher,8300
Jamie Smith,45,Software Engineer,15100
Aaron Palmer,62,High School Teacher,17700
Michael Snyder,56,Dentist,21400
Troy Murphy,62,Accountant,19200
Robin Dunn,65,Software Engineer,20600
Matthew Lloyd,33,Software Engineer,10000
Amber Taylor,60,Dentist,21100
Erin Mcgee,56,Software Engineer,18900
Jennifer Cortez,24,Accountant,6500
Shannon Moran,31,Dentist,12600
Phillip Williams,48,High School Teacher,12700
Nancy Wilson,52,High School Teacher,15200
Chad Chase,61,Software Engineer,19900
Taylor French,64,Accountant,19300
Melissa Bryant,41,Software Engineer,13900
Linda Carson,62,High School Teacher,16200
Julie Wilkerson,25,High School Teacher,6600
Timothy Garcia,37,High School Teacher,9200
James Bradford,27,High School Teacher,7700
Craig Harris,38,Accountant,10000
Taylor Johnson,52,High School Teacher,14200
Scott Rodriguez,58,High School Teacher,15000
Kevin Robinson,24,High School Teacher,5300
Michelle Fuller,37,Software Engineer,13200
Pamela Cameron,42,Software Engineer,15200
Michelle Flores,29,Dentist,12000
David Ward,61,Accountant,16400
Michael Torres,48,Accountant,14500
Mrs. Wendy Taylor,47,High School Teacher,11200
Anthony Ray,42,Accountant,11200
Dawn Richardson,35,Software Engineer,11800
Jennifer Francis,33,High School Teacher,9500
Leon Smith,45,Dentist,15600
Tracie David,30,Dentist,12100
Stefanie Bennett,56,Accountant,14900
William Rivas,37,Software Engineer,12200
Angela Taylor,54,Software Engineer,18300
Casey White,30,Software Engineer,9600
Melanie Bowman,58,Dentist,20500
Carolyn Ford,46,Dentist,16900
Brittany Smith,61,Software Engineer,19600
Craig Li,49,Software Engineer,15300
Brian Nguyen,25,Software Engineer,8800
Sarah Zimmerman,23,High School Teacher,5000
Isabel Buchanan,23,Accountant,5000
Heather White,25,Accountant,6600
Katherine Reyes,32,High School Teacher,7200
Sherri Reed,52,Software Engineer,16200
Emily Hernandez,37,High School Teacher,8700
Lindsey Boyd,65,High School Teacher,18600
Kimberly Carlson,23,Dentist,9500
Brian Russell,47,High School Teacher,11200
Dawn Porter,30,Dentist,13600
Mark Cardenas,25,Dentist,11600
Regina Harmon,61,Dentist,21400
Anthony Clark,48,Software Engineer,14500
Michael Silva,44,High School Teacher,12800
Michelle Smith,36,Dentist,13900
Andre Chandler,43,Accountant,12200
Robert Smith,36,Software Engineer,13400
Monica Rodriguez,39,Dentist,15000
Elizabeth Harris,45,Software Engineer,15100
Kevin Cooper,65,Accountant,18100
Nicole Parker,32,Dentist,12200
Eric Fowler,30,Dentist,11600
Laura Armstrong,32,Software Engineer,11700
Eileen Miles,37,Accountant,11700
George Bennett,48,High School Teacher,13500
Jennifer Roberts,39,High School Teacher,9300
Joanna Briggs,46,Software Engineer,15900
Kyle Rich,34,Software Engineer,12800
Brandon Weaver,65,High School Teacher,17600
April Robinson,62,Software Engineer,21200
Alexandra Clark,49,Accountant,13800
Kevin Knapp,32,Accountant,9700
Christina Green,23,Dentist,9500
Michelle Dougherty,31,High School Teacher,7900
Stacey Barajas,54,Accountant,14300
Steven Smith,31,Accountant,7900
Mr. Kevin Hoffman MD,61,High School Teacher,17400
Justin Wade,58,Dentist,20500
Nicholas Garcia,63,Software Engineer,20000
Katherine Lopez,61,High School Teacher,15400
Haley Morgan,29,Dentist,12800
Krista Wilson,29,Software Engineer,9800
Patricia Brown,28,Software Engineer,9700
John Garcia,42,High School Teacher,9700
Krystal Lloyd,52,Software Engineer,15700
Amanda Parker,53,Accountant,15500
John Brown,26,Dentist,11400
Deborah Rowe,30,Software Engineer,10100
John Jackson,50,High School Teacher,12100
Jennifer Martinez,28,Dentist,11500
Mark Wiggins,42,Software Engineer,14200
Nicole Dorsey,61,High School Teacher,17400
Frank Leblanc,55,Dentist,18600
Tom Durham,38,Accountant,10000
Tim Crane,42,Accountant,11200
Jessica Glass,24,Dentist,9800
Dr. Deanna Smith,44,Accountant,13800
Anthony Roberts,48,Software Engineer,14500
Martin Foster,58,Dentist,21000
Steven Stephens,52,Accountant,15200
Matthew Howard,46,Accountant,13400
Donald Graham,62,Software Engineer,20700
Megan Harris,59,Accountant,17000
Ronald Smith,46,Software Engineer,14400
Juan Dillon,43,Accountant,12500
Benjamin Freeman,42,Software Engineer,13900
Alice Paul,38,High School Teacher,9700
Richard Swanson,42,High School Teacher,10200
Roy Estrada,24,Software Engineer,7800
Richard Kirby Jr.,32,Accountant,8900
John Martinez,42,Software Engineer,14200
Brittany Clayton,60,Software Engineer,19600
Jennifer Henson,56,Dentist,18900
Evan Gibson,24,Accountant,5800
Michael Maxwell,34,Software Engineer,11800
Victoria Boone,28,Dentist,12000
Annette Woods,27,Software Engineer,8200
Angela Garcia,58,High School Teacher,14500
Vincent Glover,52,Software Engineer,15700
Christopher Richardson,52,Accountant,16200
Dr. Patricia House,50,High School Teacher,13600
Theresa Snyder,45,Dentist,18100
Aaron Nielsen,27,Software Engineer,10200
Dr. Mark Christian,55,High School Teacher,15600
Gary Padilla,61,Software Engineer,19400
Samantha Moon,23,Dentist,10500
David Woods MD,42,Dentist,14700
Laurie Davis,36,Dentist,15400
Lisa Carroll,55,High School Teacher,14600
Kelsey Richards,30,Dentist,12100
Jennifer Jacobs,52,Accountant,14900
George Charles,38,Dentist,15500
Holly Harris,33,High School Teacher,7000
Olivia Stewart,57,High School Teacher,15700
Patrick Good,28,Accountant,7700
Rickey Reyes,63,Dentist,22500
Jennifer Grimes,28,Dentist,11500
Anthony Murphy,31,Software Engineer,9900
Kristen Barber,44,Dentist,16300
Roberto Bryan,24,High School Teacher,4300
Mary Valentine,40,Accountant,12600
Melissa Cole,24,Software Engineer,7800
Jesse Pruitt,30,Accountant,8100
Candice Mills,25,Software Engineer,8100
Charles Rodriguez,43,High School Teacher,11000
Donald Mcclain,27,High School Teacher,6700
Connie Soto,38,Dentist,15000
Shannon Hancock II,29,Accountant,8000
Kathleen Stone,61,High School Teacher,15900
Christina Watkins,49,Accountant,12800
Megan Pham,48,Accountant,13700
Tabitha Robinson,51,Software Engineer,17900
Sarah Ellis,49,High School Teacher,12300
Alisha Johns,29,High School Teacher,6300
Joseph Bennett,58,Software Engineer,18500
Jennifer Jackson,60,Accountant,17300
Robert Hicks,38,High School Teacher,9000
Barbara Daniel,35,High School Teacher,8100
Corey Stanton,51,High School Teacher,12900
Amy Owens,44,Dentist,16500
Danielle Maxwell,35,Software Engineer,11800
Allison Meadows,29,High School Teacher,7800
Amanda Stuart,55,High School Teacher,15100
Anthony Cox MD,35,Software Engineer,10600
Thomas Mason,51,Software Engineer,15400
Mark Ball,34,Dentist,13300
Kathryn Torres,29,Software Engineer,9800
Sara Martinez,24,Dentist,9300
Kelly Holmes,59,Accountant,17800
Michelle Rivera,28,Accountant,7500
Jennifer Goodman,25,High School Teacher,5100
Brian Owens,30,Software Engineer,11100
Victoria Buckley,26,High School Teacher,6900
Trevor Martinez,58,Software Engineer,19000
Katherine Crawford,51,Software Engineer,16600
Mr. Austin Anderson,44,Dentist,16500
Emily Brown,46,High School Teacher,10900
Brandon Carter,48,Software Engineer,15700
Heather Garcia,47,High School Teacher,11700
William Nichols,38,Dentist,14700
Katherine Dominguez,47,Accountant,13200
Samantha Johnson,63,Dentist,22500
Adam Owens,38,Dentist,14000
Dennis Hughes,39,Accountant,11000
Valerie Webb,41,Accountant,12400
Lisa Smith,24,Software Engineer,8500
Greg Dunlap,50,High School Teacher,13300
Andrew Lyons,23,High School Teacher,5200
Tanner Thompson,34,Dentist,14300
Michael Fleming,40,Accountant,11600
Victoria Douglas,27,Dentist,11700
Matthew Lucas,33,Accountant,8500
Amanda Carpenter,50,High School Teacher,12600
Troy Atkins,58,Dentist,21000
Lauren Moss,47,Accountant,13200
Ashley Osborn,35,Dentist,12600
Jack Marshall,33,Software Engineer,10500
Robert Miller,45,High School Teacher,11600
Tim Smith,38,Dentist,16000
Amanda Rodriguez,23,Accountant,6000
Russell Miller,58,Software Engineer,18500
Briana Huff,26,High School Teacher,6400
Shelby Jackson,29,Accountant,9300
James Allen,34,High School Teacher,7300
Zachary Garcia,54,High School Teacher,15800
Edwin Walker,56,Accountant,16100
Kenneth Garcia,40,Dentist,16600
Jonathan Johnson,61,High School Teacher,16400
Nicole Wright,41,Dentist,15600
Sarah Hill,26,Dentist,11400
Matthew Pena,24,Dentist,10300
Robert Keith,62,High School Teacher,17200
Lisa Blair,50,Software Engineer,17600
Jason Hernandez,47,High School Teacher,12200
Richard Serrano,31,Dentist,12900
Christina Clayton,64,Software Engineer,20300
Jordan Smith,53,Software Engineer,17000
Matthew Cox,55,Dentist,19600
Dale Gutierrez,26,Accountant,6900
Melissa Lopez,63,Software Engineer,21500
Laurie Brooks,37,Dentist,14700
Debra Thompson,25,Dentist,10600
Robert Montgomery,59,High School Teacher,16800
Patrick Johns,49,High School Teacher,13000
Jonathan Perez,61,Accountant,16900
David Wallace,47,Dentist,18200
Brian Williams,36,High School Teacher,9100
Jessica Mason,45,Dentist,16800
Samantha Robinson,31,High School Teacher,6900
Mark Zamora,28,Software Engineer,9700
James Anderson,55,Dentist,19800
Sabrina Juarez MD,25,Dentist,11100
Ronald Singh,44,Accountant,12800
Joseph Strickland,35,High School Teacher,7600
Jason Hess,29,Accountant,8300
Michael Ward,65,Dentist,22800
Jennifer Miller,36,Software Engineer,12100
Joseph Moran,48,Dentist,18500
Jon Jones,54,High School Teacher,14300
Kimberly Fuller,60,Software Engineer,19600
Billy Rodriguez,60,Software Engineer,18100
Tiffany Santiago,44,Software Engineer,13300
David Miller,25,Accountant,7600
Charles Brown,63,Software Engineer,20500
Brittany Young,31,Software Engineer,10900
Karina Vega,29,Dentist,12300
Katie Roberts,51,High School Teacher,13400
Jennifer Lewis,24,Accountant,6500
Cindy Smith,58,High School Teacher,15500
Robert Morton,31,High School Teacher,8900
Elizabeth Morrison,65,Accountant,18100
Carla Cordova,47,Dentist,16200
Joseph Huff,47,Accountant,14700
Jessica Garcia,30,Dentist,13100
Tracy Wagner,60,Software Engineer,18600
Danny Lawrence,27,High School Teacher,7200
Brenda Hendricks,52,Dentist,18200
Alex Fernandez,30,Dentist,12100
Darrell Lawrence,30,Accountant,8600
Timothy Clayton,55,Accountant,15100
Kirk Evans,50,Dentist,18600
Anthony Alvarez,58,High School Teacher,15700
Steven Roman,27,High School Teacher,5700
Rose Anderson,64,High School Teacher,16300
Rachael Schroeder,45,High School Teacher,11600
Robert Decker,28,Dentist,12500
Crystal Price,28,Dentist,11500
Tracy Vasquez,43,Dentist,16000
Sarah Hays,62,Accountant,18700
Stephanie Mckinney,48,Software Engineer,15700
Sandra Anderson,28,Dentist,13000
Jessica Lowe,62,Dentist,21700
Mary Singleton,23,High School Teacher,6000
William Carrillo,32,Accountant,8900
Felicia Rodriguez,23,High School Teacher,6500
Dr. Roy Smith,59,Software Engineer,17800
Charles Williams,32,Dentist,14200
Kenneth Mccall,29,Software Engineer,10800
Mark Coleman,46,Software Engineer,13900
Felicia Smith,38,High School Teacher,9700
John Castillo,42,Software Engineer,13900
Joshua Maddox,58,Dentist,20700
Richard Nelson,42,High School Teacher,11200
Paige Hawkins,37,Dentist,14200
Corey Navarro,60,Software Engineer,19300
Christopher Kim,39,High School Teacher,8800
Ryan Lang,41,Dentist,16400
Amy Oconnor,39,Software Engineer,11800
Bradley Jones,28,Software Engineer,8500
Charles Walker,41,Accountant,11600
Mr. Michael Schneider,32,Accountant,10200
Jason Butler,42,Dentist,15900
Mr. Bryan Sanders,51,Dentist,17900
Melissa Casey,64,Dentist,22500
Erica Meyer,62,High School Teacher,16900
Jason Payne,60,Software Engineer,20100
Tony Park,31,Dentist,12600
Christine Simmons,33,Software Engineer,11000
Brandi Morris,47,High School Teacher,13700
Spencer Patrick,51,Dentist,18900
Kimberly Sanders,32,High School Teacher,9200
Christine Barron,30,Dentist,11100
Sarah Brown,37,High School Teacher,9700
Erik Russo,31,Accountant,7400
